,Brand,Model,Year,Variant,Location,Version,Number of Owners,KmDriven,Price
0,Maruti,A Star,2009,LXI Manual,New Delhi,Petrol,1st Owner,30867,175399
1,Volkswagen,Vento,2014,HIGHLINE PETROL Manual,New Delhi,Petrol,1st Owner,62625,446899
2,Maruti,Ritz,2010,VXI GENUS Manual,New Delhi,Petrol,1st Owner,96362,231399
3,Hyundai,Grand i10,2015,MAGNA 1.1 CRDI Manual,New Delhi,Diesel,2nd Owner,62491,312299
4,Maruti,Swift Dzire,2014,VDI BS IV Manual,New Delhi,Diesel,1st Owner,96978,416399
5,Maruti,Swift,2015,VDI ABS Manual,New Delhi,Diesel,1st Owner,44638,432499
6,Maruti,Ciaz,2014,VDI PLUS Manual,New Delhi,Diesel,1st Owner,113535,492099
7,Maruti,Swift,2013,VDI Manual,New Delhi,Diesel,1st Owner,114506,330499
8,Hyundai,i20,2013,SPORTZ 1.4 CRDI Manual,New Delhi,Diesel,1st Owner,64361,364899
9,Maruti,Wagon R 1.0,2013,LXI Manual,New Delhi,Petrol,1st Owner,151452,234499
10,Maruti,Swift,2015,VDI ABS Manual,New Delhi,Diesel,1st Owner,89196,406599
11,Maruti,Swift,2014,VXI Manual,New Delhi,Petrol,1st Owner,107206,392399
12,Maruti,Swift,2013,VDI Manual,New Delhi,Diesel,1st Owner,122416,319399
13,Ford,Ecosport,2014,1.5 TITANIUMTDCI OPT Manual,New Delhi,Diesel,1st Owner,156205,455199
14,Maruti,Swift,2013,VDI Manual,New Delhi,Diesel,1st Owner,83143,327199
15,Maruti,Swift,2014,VDI Manual,New Delhi,Diesel,1st Owner,64370,380399
16,Hyundai,Elite i20,2015,MAGNA 1.4 CRDI Manual,New Delhi,Diesel,1st Owner,59041,484199
17,Maruti,Ciaz,2017,VDI+ SHVS Manual,New Delhi,Diesel,1st Owner,82599,584899
18,Maruti,Swift,2013,ZDI Manual,New Delhi,Diesel,1st Owner,77409,397899
19,Mahindra,XUV500,2013,W8 FWD Manual,New Delhi,Diesel,1st Owner,20852,579899
20,Maruti,A Star,2009,LXI Manual,Noida,Petrol,1st Owner,30867,175399
21,Volkswagen,Vento,2014,HIGHLINE PETROL Manual,Noida,Petrol,1st Owner,62625,446899
22,Maruti,Ritz,2010,VXI GENUS Manual,Noida,Petrol,1st Owner,96362,231399
23,Hyundai,Grand i10,2015,MAGNA 1.1 CRDI Manual,Noida,Diesel,2nd Owner,62491,312299
24,Maruti,Swift Dzire,2014,VDI BS IV Manual,Noida,Diesel,1st Owner,96978,416399
25,Maruti,Swift,2015,VDI ABS Manual,Noida,Diesel,1st Owner,44638,432499
